常看的多数台需开启ipv6,#genre#
神乐影院,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=af68f33dc536a0fb76a514b2dcce8f6b&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce1e55031a221b1d3b7dfd1c7e0d6d57314&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2


重庆新闻,http://211.158.48.108:8008/udp/225.0.4.59:7980
重庆新闻,http://211.158.48.108:8008/udp/225.0.4.188:7980

重庆新闻,http://113.250.206.112:3388/rtp/235.254.196.199:7980
重庆新闻,http://113.250.206.112:3388/rtp/235.254.196.208:1104
重庆新闻,http://125.80.251.184:7788/rtp/235.254.196.199:7980
重庆新闻,http://125.80.251.184:7788/rtp/235.254.196.208:1104


重庆影视,http://211.158.48.108:8008/udp/225.0.4.192:7980
重庆影视,http://211.158.48.108:8008/udp/225.0.4.62:7980
重庆影视,http://113.250.206.112:3388/rtp/235.254.198.180:7980
重庆影视,http://113.250.206.112:3388/rtp/235.254.196.209:1108
重庆影视,http://125.80.251.184:7788/rtp/235.254.198.180:7980
重庆影视,http://125.80.251.184:7788/rtp/235.254.196.209:1108
重庆影视,http://183.66.15.146:60901/tsfile/live/0019_1.m3u8


重庆都市,http://211.158.48.108:8008/udp/225.0.4.190:7980
重庆都市,http://113.250.206.112:3388/rtp/235.254.198.181:7980
重庆都市,http://125.80.251.184:7788/rtp/235.254.198.181:7980
重庆都市,http://183.66.15.146:60901/tsfile/live/1001_1.m3u8

重庆文体娱乐,http://211.158.48.108:8008/udp/225.0.4.65:7980$重庆联通77标清
重庆文体娱乐,http://211.158.48.108:8008/udp/225.0.4.194:7980$重庆联通77

重庆文体娱乐,http://113.250.206.112:3388/rtp/235.254.198.187:7980$重庆电信161
重庆文体娱乐,http://113.250.206.112:3388/rtp/235.254.196.212:1120$重庆电信161标清
